动作,含义,RB3,Wildwise,RB3 入口,Wildwise 入口,边界,评估
ACTIVATE,激活设施,✅,✅,leftclick（目标条件）,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 RB3 限 dirtpile/winona_catapult；Wildwise 是通用动作白名单。,保留/验收
ADDCOMPOSTABLE,添加堆肥,✅,✅,leftclick（目标条件）,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
ADDFUEL,添加燃料,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
ADDWETFUEL,添加潮湿燃料,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
ADD_CARD_TO_DECK,加卡入牌堆,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
ATTACK,攻击（RB3仅墙）,✅,❌,allclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 RB3 目标限定 wall；没有敌人战斗 AI。,范围外或按需，逐目标检查副作用
BOTTLE,装瓶,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
BUILD,制造/建筑,✅,✅,RepeatRecipe/建筑布点,独立制作路径,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 Wildwise 仅无 placer 配方；RB3 另有建筑布点。,保留/验收
CASTSPELL,施放法术,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
CHECKTRAP,检查陷阱,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
CHOP,砍伐,✅,✅,allclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
COMBINESTACK,合并堆叠,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
COOK,直接烹烤,✅,❌,"leftclick,rightclick",未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
DECORATEVASE,装饰花瓶,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
DEPLOY,部署物品,✅,✅,DeployActiveItem/建筑部署,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
DEPLOY_TILEARRIVE,部署到地块,✅,✅,rightclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
DIG,挖掘,✅,✅,"leftclick,rightclick",M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
DISMANTLE,拆卸,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
DRAW,绘制,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
DRAW_FROM_DECK,从牌堆抽牌,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
DROP,丢放,✅,❌,DropActiveItem,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
DRY,晾晒,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
EAT,食用,✅,❌,allclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
