类型,入口,有描述或挂接入口,配置引用,命名输出,信息语义键,来源,边界
descriptors,acidbatwavemanager,✅,display_batwave_information,acidbatwavemanager_,"acidbatwavemanager.chance,acidbatwavemanager.next_wave_spawn,cooldown",/tmp/wildwise-research/insight/scripts/descriptors/acidbatwavemanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,aoeweapon_base,✅,,"aoeweapon_base,aoeweapon_base_DescribeDamage",weapon_damage_type,/tmp/wildwise-research/insight/scripts/descriptors/aoeweapon_base.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,aoeweapon_leap,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/aoeweapon_leap.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,aoeweapon_lunge,✅,,aoeweapon_lunge,aoeweapon_lunge.lunge_damage,/tmp/wildwise-research/insight/scripts/descriptors/aoeweapon_lunge.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,aporkalypse,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/aporkalypse.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,appeasement,✅,appeasement_value,,"appease_bad,appease_good",/tmp/wildwise-research/insight/scripts/descriptors/appeasement.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,appraisable,✅,display_yotb_appraisal,,appraisable,/tmp/wildwise-research/insight/scripts/descriptors/appraisable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,armor,✅,armor,"armor_durability,armor_protection","durability,durability_unwrappable,protection",/tmp/wildwise-research/insight/scripts/descriptors/armor.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,attunable,✅,,,"attunable.linked,attunable.offline_linked,attunable.player",/tmp/wildwise-research/insight/scripts/descriptors/attunable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,basehassler,✅,,basehassler_,,/tmp/wildwise-research/insight/scripts/descriptors/basehassler.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,batted,✅,display_batwave_information,,,/tmp/wildwise-research/insight/scripts/descriptors/batted.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,beard,✅,,,beard,/tmp/wildwise-research/insight/scripts/descriptors/beard.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,beargerspawner,❌,,,"beargerspawner.announce_bearger_target,beargerspawner.bearger_attack,beargerspawner.incoming_bearger_targeted",/tmp/wildwise-research/insight/scripts/descriptors/beargerspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,bloomness,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/bloomness.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,boatdrag,✅,,,"boatdrag.drag,boatdrag.force_dampening,boatdrag.max_velocity_mod",/tmp/wildwise-research/insight/scripts/descriptors/boatdrag.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,boathealth,✅,,,health,/tmp/wildwise-research/insight/scripts/descriptors/boathealth.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
