ID,类别,能力边界,Insight,Global Positions,Wormhole Marks,Auto Stack and Pick Up,ActionQueue RB3,智能小木牌,Beefalo Status Bar,Wildwise,实现及限制,评估,证据,源码链接
F001,信息：通用数值,悬停实体与库存物品信息,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 仅对当前可见或有持有/开箱权限的对象查询；不保证每个 prefab 有专用信息。,保持,"I:descriptors;W:services/observer.lua,runtime/client.lua",[I:descriptors](/tmp/wildwise-research/insight/scripts/descriptors)；[W:services/observer.lua](/usr/local/src/Wildwise/scripts/wildwise/services/observer.lua)；[W:runtime/client.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/client.lua)
F002,信息：通用数值,检查修饰键展开更多详情,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 常规最多 10 行，minimal 4 行，按检查键最多 25 行；detailed 预设仍常规最多 10 行。,应补截断提示及可配置行数,I:modinfo.lua;W:ui/format.lua,[I:modinfo.lua](/tmp/wildwise-research/insight/modinfo.lua)；[W:ui/format.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/format.lua)
F003,信息：通用数值,信息密度预设,✅,❌,❌,❌,❌,❌,❌,✅,Insight 4 套预设；Wildwise minimal/standard/detailed 3 档，主要改变级别和行数，不是完整的逐项配置方案。,先补独立开关，再完善预设,"I:scripts;W:ui/format.lua,core/config.lua",[I:scripts](/tmp/wildwise-research/insight/scripts)；[W:ui/format.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/format.lua)；[W:core/config.lua](/usr/local/src/Wildwise/scripts/wildwise/core/config.lua)
F004,信息：通用数值,当前/最大生命值,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise health/currenthealth 与 GetMaxWithPenalty，支持数值缺失时省略。牛栏另见骑乘分组。,保持,I:descriptors/health.lua;W:services/facts.lua,[I:descriptors/health.lua](/tmp/wildwise-research/insight/scripts/descriptors/health.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F005,信息：通用数值,基础普通攻击伤害,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 读取 combat.defaultdamage 或数值型 weapon.damage，不执行函数型动态伤害。,应补可信动态接口与限定说明,"I:descriptors/combat.lua,descriptors/weapon.lua;W:services/facts.lua",[I:descriptors/combat.lua](/tmp/wildwise-research/insight/scripts/descriptors/combat.lua)；[I:descriptors/weapon.lua](/tmp/wildwise-research/insight/scripts/descriptors/weapon.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F006,信息：通用数值,位面伤害/位面防御独立显示,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 调用 planardamage/GetDamage 与 planardefense/GetDefense，不能视为最终实战伤害。,保持,"I:descriptors/planardamage.lua,descriptors/planardefense.lua;W:services/facts.lua",[I:descriptors/planardamage.lua](/tmp/wildwise-research/insight/scripts/descriptors/planardamage.lua)；[I:descriptors/planardefense.lua](/tmp/wildwise-research/insight/scripts/descriptors/planardefense.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F007,信息：通用数值,阵营伤害加成/抗性、套装及复杂武器特效,✅,❌,❌,❌,❌,❌,❌,❌,Insight 有 damagetypebonus/resist、setbonus 和专用武器描述器；Wildwise 未接入。,常用装备优先补,"I:descriptors/damagetypebonus.lua,descriptors/damagetyperesist.lua,descriptors/setbonus.lua;W:services/facts.lua",[I:descriptors/damagetypebonus.lua](/tmp/wildwise-research/insight/scripts/descriptors/damagetypebonus.lua)；[I:descriptors/damagetyperesist.lua](/tmp/wildwise-research/insight/scripts/descriptors/damagetyperesist.lua)；[I:descriptors/setbonus.lua](/tmp/wildwise-research/insight/scripts/descriptors/setbonus.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F008,信息：通用数值,护甲剩余耐久/吸收率,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise condition、absorb_percent / health.absorb；没有最终多层防御合成。,保持基础值，按需补合成说明,I:descriptors/armor.lua;W:services/facts.lua,[I:descriptors/armor.lua](/tmp/wildwise-research/insight/scripts/descriptors/armor.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F009,信息：通用数值,工具剩余次数、总次数、百分比,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise finiteuses 三个字段；没有库存格常驻覆盖数字。,保持；补库存格显示,I:descriptors/finiteuses.lua;W:services/facts.lua,[I:descriptors/finiteuses.lua](/tmp/wildwise-research/insight/scripts/descriptors/finiteuses.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F010,信息：通用数值,防水、保温类别/数值、移速、装备理智变化,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 读取组件基础字段，未汇总角色技能、装备套装和环境全部倍率。,明确基础值，常用修正按需,"I:descriptors/waterproofer.lua,descriptors/insulator.lua,descriptors/equippable.lua;W:services/facts.lua",[I:descriptors/waterproofer.lua](/tmp/wildwise-research/insight/scripts/descriptors/waterproofer.lua)；[I:descriptors/insulator.lua](/tmp/wildwise-research/insight/scripts/descriptors/insulator.lua)；[I:descriptors/equippable.lua](/tmp/wildwise-research/insight/scripts/descriptors/equippable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
