模组,键,说明,默认值,可选值,枚举原文及含义,client原始字段,原始tags,权限,参考配置支持,Wildwise 对应配置,Wildwise 边界,评估,源码,源码定位
Insight,language,语言,automatic,automatic / en / zh / br / es / ru / ko,"[{""hover"": ""使用游戏当前的语言设定"", ""description"": ""自动"", ""data"": ""automatic""}, {""hover"": ""英语"", ""description"": ""英语"", ""data"": ""en""}, {""hover"": ""中文"", ""description"": ""中文"", ""data"": ""zh""}, {""hover"": ""Portuguese"", ""description"": ""Portuguese"", ""data"": ""br""}, {""hover"": ""Spanish"", ""description"": ""Spanish"", ""data"": ""es""}, {""hover"": ""Russian"", ""description"": ""Russian"", ""data"": ""ru""}, {""hover"": ""韩国语"", ""description"": ""韩国语"", ""data"": ""ko""}]",true,{},个人优先,✅,✅,language：auto/zh/en；不支持参考的葡/西/俄/韩。,按用户群体按需增加语言,/tmp/wildwise-research/insight/modinfo.lua,[language](/tmp/wildwise-research/insight/modinfo.lua:6769)
Insight,info_style,信息类型,text,text / icon,"[{""hover"": ""显示纯文字"", ""description"": ""文字"", ""data"": ""text""}, {""hover"": ""显示图标替代文字"", ""description"": ""图标"", ""data"": ""icon""}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[info_style](/tmp/wildwise-research/insight/modinfo.lua:6784)
Insight,text_coloring,文字着色,true,false / true,"[{""hover"": ""禁用文字着色 :("", ""description"": ""禁用"", ""data"": false}, {""hover"": ""启用文字着色"", ""description"": ""启用"", ""data"": true}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[text_coloring](/tmp/wildwise-research/insight/modinfo.lua:6794)
Insight,insight_font,字体,UIFONT,UIFONT / TITLEFONT / DIALOGFONT / NUMBERFONT / BODYTEXTFONT / TALKINGFONT,"[{""hover"": ""Insight将使用'UIFONT'字体"", ""description"": ""UIFONT"", ""data"": ""UIFONT""}, {""hover"": ""Insight将使用'TITLEFONT'字体"", ""description"": ""TITLEFONT"", ""data"": ""TITLEFONT""}, {""hover"": ""Insight将使用'DIALOGFONT'字体"", ""description"": ""DIALOGFONT"", ""data"": ""DIALOGFONT""}, {""hover"": ""Insight将使用'NUMBERFONT'字体"", ""description"": ""NUMBERFONT"", ""data"": ""NUMBERFONT""}, {""hover"": ""Insight将使用'BODYTEXTFONT'字体"", ""description"": ""BODYTEXTFONT"", ""data"": ""BODYTEXTFONT""}, {""hover"": ""Insight将使用'TALKINGFONT'字体"", ""description"": ""TALKINGFONT"", ""data"": ""TALKINGFONT""}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[insight_font](/tmp/wildwise-research/insight/modinfo.lua:6804)
Insight,hoverer_insight_font_size,鼠标悬停文本大小,30,20 / 21 / 22 / 23 / 24 / 25 / 26 / 27 / 28 / 29 / 30,"[{""description"": ""20"", ""data"": 20}, {""description"": ""21"", ""data"": 21}, {""description"": ""22"", ""data"": 22}, {""description"": ""23"", ""data"": 23}, {""description"": ""24"", ""data"": 24}, {""description"": ""25"", ""data"": 25}, {""description"": ""26"", ""data"": 26}, {""description"": ""27"", ""data"": 27}, {""description"": ""28"", ""data"": 28}, {""description"": ""29"", ""data"": 29}, {""description"": ""30"", ""data"": 30}]",true,{},个人优先,✅,✅,info_font_size / 个人 info.font_size：18/22/26/30，粒度不同。,保留；需要时扩展字号,/tmp/wildwise-research/insight/modinfo.lua,[hoverer_insight_font_size](/tmp/wildwise-research/insight/modinfo.lua:6811)
Insight,inventorybar_insight_font_size,控制器物品栏文本大小,25,20 / 21 / 22 / 23 / 24 / 25,"[{""description"": ""20"", ""data"": 20}, {""description"": ""21"", ""data"": 21}, {""description"": ""22"", ""data"": 22}, {""description"": ""23"", ""data"": 23}, {""description"": ""24"", ""data"": 24}, {""description"": ""25"", ""data"": 25}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[inventorybar_insight_font_size](/tmp/wildwise-research/insight/modinfo.lua:6818)
Insight,followtext_insight_font_size,控制器跟随文本大小,28,20 / 21 / 22 / 23 / 24 / 25 / 26 / 27 / 28,"[{""description"": ""20"", ""data"": 20}, {""description"": ""21"", ""data"": 21}, {""description"": ""22"", ""data"": 22}, {""description"": ""23"", ""data"": 23}, {""description"": ""24"", ""data"": 24}, {""description"": ""25"", ""data"": 25}, {""description"": ""26"", ""data"": 26}, {""description"": ""27"", ""data"": 27}, {""description"": ""28"", ""data"": 28}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[followtext_insight_font_size](/tmp/wildwise-research/insight/modinfo.lua:6825)
Insight,hoverer_line_truncation,悬停文本截断,None,None / 1 / 2 / 3 / 4 / 5,"[{""hover"": ""文本不会被截断。"", ""description"": ""None"", ""data"": ""None""}, {""hover"": ""文本将在第 1 行被截断"", ""description"": ""1"", ""data"": 1}, {""hover"": ""文本将在第 2 行被截断"", ""description"": ""2"", ""data"": 2}, {""hover"": ""文本将在第 3 行被截断"", ""description"": ""3"", ""data"": 3}, {""hover"": ""文本将在第 4 行被截断"", ""description"": ""4"", ""data"": 4}, {""hover"": ""文本将在第 5 行被截断"", ""description"": ""5"", ""data"": 5}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[hoverer_line_truncation](/tmp/wildwise-research/insight/modinfo.lua:6832)
Insight,alt_only_information,仅在检查时显示,false,false / true,"[{""hover"": ""信息正常显示"", ""description"": ""禁用"", ""data"": false}, {""hover"": ""仅当按住 Alt 键时显示信息"", ""description"": ""启用"", ""data"": true}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[alt_only_information](/tmp/wildwise-research/insight/modinfo.lua:6839)
Insight,itemtile_display,库存物品栏信息,percentages,none / numbers / percentages / mixed,"[{""hover"": ""不显示任何信息"", ""description"": ""无"", ""data"": ""none""}, {""hover"": ""显示具体次数"", ""description"": ""数字"", ""data"": ""numbers""}, {""hover"": ""显示默认百分比"", ""description"": ""百分比"", ""data"": ""percentages""}, {""hover"": ""可恢复耐久的物品显示默认百分比, 其他显示具体次数"", ""description"": ""兼用"", ""data"": ""mixed""}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[itemtile_display](/tmp/wildwise-research/insight/modinfo.lua:6861)
